"S.No","Source","Reviewer_Name","Date","Star_Rating","Review_Text","Helpful_Count"
"13","Google Play Store","MOHAMMED IDHRIS","29 May 2026","1","Bhanzu is another Byzu. Initially it will trap parents to subscribe to the course. If we have concern in the course they will not respond or give lame responses to extend the time. Initially they speak like they will support throughout the course but they will not. They will give all the promises but they will not achieve anything.","16"
"14","Google Play Store","Divya Karamcheti","10 June 2026","1","doesn't work with new user. no place to sign up. neither logging with other email ids work with this app. please update to be able to reach people and to be accessed by then","2"
"15","Google Play Store","Santhi Battula","2 September 2025","1","I had enrolled my daughter in Bhanzu with the hope of improving her math skills. When I requested to cancel the subscription due to her hectic school schedule, instead of acting on the cancellation, the team simply paused classes and kept delaying the process. Despite multiple follow-ups, my requests for cancellation and refund have been ignored with unnecessary delays and no accountability. This shows a serious lack of profession","19"
"16","Google Play Store","Mathew Varghese","22 June 2023","1","Overall the after service is not very bad , it is difficult to reach out to support team and class are cancelled without notification and I have writing email to support team but no response almost 2 months have passed.","31"
"17","Google Play Store","Seema Abhilash","12 December 2024","1","Would never recommend to Join Bhanzu, you don't have choice to stop the class if you are not satisfied or any genuine reason of discontinuation, they would not stop auto deduction of fees from your credit card until 3 months they want to collect that money anyhow. Highly disappointed and disgusting attitude and they never give you direct contacts only through emails you can contact, such an untrustworthy organisation. Everytime they call from a random unknown number on which you cannot call back","8"
"18","Google Play Store","Prakhar Chaudhary","21 September 2023","1","This is very boxus site...I was not satisfied with the teaching and I want to withdraw. At the time of enrollment of students they call u so many times. Once the have taken fees and have started EMI no one listen .I want to withdraw from classes yet no response...EMI keeps deducting fromm credit card. Though I have told their teami want to withdraw. They say u will receive call from other department but no call comes","33"
"19","Google Play Store","VINOD KUMAR SINGH","14 November 2024","1","I have availed one subscription for my child but I am not satisfied and when I am contacting them for the cancellation of subscription no one can entertains me . Every week their teachers are changed and study is not upto mark. At the time of giving subscription they start calling from 8 A.M of Morning but for cancellation no one can ready to took responsibility for the same and they arrange my loan facility from varthana facility whose emi was also deducted from.my account.. very poor services","17"
"20","Google Play Store","Mrs Singh","7 January 2026","1","pathetic customer service, they send a push message that class is started but after waiting long time after sending thousands messages to support app , they gave a ticket number and asked to wait as any live agent will attend the chat in 15 20 min, of course, why not, if I am not able to join class now I will get resolution after 20 min. and then I don't know but they always said due to technical issues traini could not create class. I mean what but earlier you sent a message that class is start","14"
"21","Google Play Store","Trupti Devdhe","10 June 2023","1","As far as me bhanzus mathematics talent he is unique but the wat he is trying reach student what ever apps etc are created they are not student parent friendly one has to always struggle while using the app and one who is not technosavy for him it's a nightmare..","19"
"22","Google Play Store","venkat konda","17 November 2025","1","I enrolled my children, in Bhanzu’s Math Wizard Course. After attending only eight Math classes, they found it difficult to follow the sessions. I initiated multiple refund requests on August 4, 9, 18, and September 9, 2025, but only received automated responses and follow-ups from representatives who could not resolve the issue. No effective action was taken. On September 18, 2025, I sent another email requesting that all future communication be conducted via email, but I did not receive refund","13"
"23","Google Play Store","Shital Chobhe","17 July 2025","1","Absolutely Disgusted and Cheated by Bhanzu! Despite multiple follow-ups, they have not refunded my fees! They collected the entire amount upfront with false promises made right at the beginning of the session. They clearly stated that the amount will be refunded anytime we choose to discontinue.This entire experience has been mentally exhausting and a total scam. I strongly warn others— do NOT enroll in this . It's full of fake promises, poor service, and absolutely zero ethics .","9"
"24","Google Play Store","Narendra Kumar Pankaj","17 April 2023","1","Disappointed 😞! I m trying to connect for 2 weeks , via app and also via the teacher but no one is connecting back. I receive mails for raising complaint and after few days I receive mail of resolution. Kindly refund the amount.","24"
"25","Google Play Store","Aruna Mathur","1 September 2023","1","Do not trust their promises. They'll not return ur money easily. I'm begging for my own money for ladt two months. Plz suggest how shall i get it. Please stay aware its total scam... Zero customer support, no attention at individual child, plz observe the classes of ur child for at least few weeks. no response despite writing mails and many calls, so I have withdrawn and now they are not refunding the fees, its been two months now. No recomended at all better go for other such online courses.","21"
"26","Google Play Store","Ekta Soni","9 April 2024","1","They are simply robbing you of your hard earn money. They are basically very talented fraud. Doesn't even provide refund even after 15-20 calls. They just pass on your calls to other people and this goes on loop.","14"
"27","Google Play Store","CHITRA ANU NIGAM","14 October 2023","1","No information provided by Bhanzu after login would request all of you never to trust on bhanzu. I didn't get any response from this app and the team regarding the classes booked.They were full as soon as I did the payment and they did not tell about it even 1 min before.They were not refunding the amount.","15"
"28","Google Play Store","t chandu","29 April 2025","1","Absolutely terrible. They refuse to refund your money and insist that you attend 20 classes before even considering it. That policy is absurd—if a parent decides the class isn’t suitable for their child, there's no reason to waste time attending 20 sessions. This feels like a tactic to avoid refunds altogether","4"
"29","Google Play Store","Rimjhim Singh","29 November 2023","1","Extremely poor experience with the counsellor. Upon booking the demo the teacher was good but the admission counsellor being told politely that I don't want to continue with then. She kept calling messaging me with different numbers. When I was not willing to talk she started messaging me and harassing me constantly calling me unprofessional and what not. I guess Bhanzu should take care of the training need of their employee. With attitude not self respecting parent will ever enroll with Bhanzu","8"
"30","Google Play Store","akshat saxena","9 April 2023","1","This is a pathetic company. I have made 100% payment, but there is no one to reach out to. It's been over a month I am struggling.. please do not waste your money. No one calls back from their customer support team. Sadly I have to put this comment","26"
"31","Google Play Store","srk singh","20 March 2025","1","very bad & fraud education app. After demo class team reached very fast & start manupulating and advise you to join classes so on so... about education.After enrollment any when if you want to cancel courses then response is zero & teach you many policies.After 20 classes and pending work completed my money is not refunded.now he is saying tha upload 49 worksheet that means more than 200 page pic &pdf upload them refund and very bad response by team Don't buy it Jai hind","8"
"32","Google Play Store","krishna bharti","27 June 2023","1","The service is so so so bad, after repeatedly telling them I am not interested, they still spam messages and calls, no one should use this app not recommended, these people are not interested in teaching, infact they are after money and don't care about the consumers, I wish Google allowed 0 stars review 😞","13"
"33","Google Play Store","dilpreet kaur","19 April 2023","1","Worst experience. Initially they call u almost daily. But when u have some issues and complaints. They dont reply ur mails, calls or wats app. Pathetic experience and pathetic app.","20"
"34","Google Play Store","N P","14 February 2026","1","Very ridiculous customer service. Forget about getting refund from these thieves. Teachers were falling asleep during class as it was too early in the day (5am) in India for class schedule. I would give them below 1 star if I can.","12"
"35","Google Play Store","Rupali Gour","26 May 2024","1","very bad, children are getting pressurized and they do not even bother what's happening after after class. I request you not to waste money bcz they don't teach anything and teach useless bakwas thing which are not at all useful. worst study course ever seen","23"
"36","Google Play Store","Jiyas Jamaludeen Lebba","13 September 2025","1","*1/5 stars* ""Unfortunately, my experience with the Bhanzhu has been disappointing. If the child is not able to follow their classes they will not give refund at any cost. at the time of enrolment the marketing team will tell whole lot of thing and their refund policy. but not a trustworthy firm.","8"
"37","Google Play Store","Thunder 19","17 June 2024","1","This app is totally a scam. First they ask a large amount of money for batch. The facility was very annoying and stupid.","13"
"38","Google Play Store","Naresh","4 November 2025","1","I didn’t get even a single class after payment. The Bhanzu team kept delaying without giving any proper response. Very unprofessional and disappointing experience.","9"
"39","Google Play Store","Chirag Patel","1 December 2025","1","Not a useful at all. you cant contact team team is unprofessional to resolve your issue. dont waste time of yours and your child.","8"
"40","Google Play Store","Ramya Sasanapuri","3 November 2024","1","it's worst few teachers are not even teaching properly if we tell the right they are telling it as wrong worst customer care takes at least 2 to 3 hours to contact with them waste of money and time .","2"
"41","Google Play Store","Balba Thanaji","16 July 2026","1","not for guidance following LED","0"
"42","Google Play Store","Dima Darwish","18 April 2025","1","hi. I need confirmation, I have been texting on WhatsApp since April 8, I requested a different date for kady, Tuesday and Wednesday, not Sunday and Wednesday. also, what I agreed on was individual lesson, not a group, for both my children, and the first class for each we were ultra surprised that it was group. please amend this. the agent has been communicating with me, but no result or answer from the official Whatsapp number until now","2"
"43","Google Play Store","k.kamala Puli","22 June 2026","1","it's not working properly","0"
"44","Google Play Store","Mohit Shringi","5 May 2025","1","App made for money grubbing from children's parents. Not useful, very trivial learning is taught.","0"
"45","Google Play Store","Sera Bella","31 May 2023","1","Confusing app with too many segments and very bad interface nothing is working properly ,everytime when i open the app i am facing new problems, very frustrating 😑","18"
"46","Google Play Store","Muneeb Shah","21 January 2023","1","Hi Bhanzu Tech Team ...Can you please help me with login on application despite having logged on the website and correct login credentials... Kindly respond immediately","8"
"47","Google Play Store","Amith Soman","13 November 2025","1","Please don't waste your money. This is a scam. One month after enrolling, they started a batch, and teachers didn't join the class. Then they changed the teacher after one week. Then a random teacher came, and they didn't even have proper internet, headphones, or a mic. I will complain to the school that does affiliate marketing for them and to complaint in KHDA.","6"
"48","Google Play Store","VIKRAM SISODIYA","17 October 2025","1","A sincere request to all parents don't enroll with this company. Your kid and you'll be on a worst situation. They ll take sign and approval on documents then will force you to continue the classes even after bad teaching and the worst management they have. We enrolled our daughter and now they refused to cancel and their payment partners are calling us multiple time in a day and none of the company employee is responding. I have some proof that I can't upload here don't go for this company.","7"
"49","Google Play Store","Sindhu priya Anne","25 May 2026","1","please don't join this Bhanzu, a fraud company before they use to say sweet words once you join, and they'll show you there actual faces , due some issues my son went back to India from Australia he attend 8 classes when I am joining at that time they told me regarding there refund policy, if the child didn't like the class or any reason they will charge whatever the child attend and remaining class they told they will refund us but since 2 weeks we are calling keep on calling them for refu","0"
"50","Google Play Store","bharathi dhasan","15 April 2026","1","I had a terrible experience with Bhanzu. They are very friendly when selling the subscription, but the service afterwards is a nightmare. We’ve had constant changes in tutors and relationship managers. Most shockingly, I’ve had to raise concerns about a tutor actually sleeping during a live class. It is completely unprofessional and unsafe. On top of the poor teaching, their support team is dishonest. Stay away. This is not the quality education they promise.","1"
"51","Google Play Store","rajiv kumar singh","29 January 2023","1","Hey Bhanzu tech team There is a problem in log in. I tried many email id but it is not working.","15"
"52","Google Play Store","narasimha raju","4 March 2024","1","It's a worst experience with bhanzu classes, waste of money, after classes they never bother about how student performing, totally waste of hard earned money.just by show casing 1 person Bhanu talent they are looting money","6"
"53","Google Play Store","Kanika Rawat","12 December 2025","1","plz don't buy their courses . 1\. they don't teach well 2\. they commit to refund your money after 10 class they don't 3\. their academic counselor don't pick up phone . customer care keep saying we will contact you in 24 hrs no one does . plz connect bhanzhu I am taking classes for Manasvi plz refund","5"
"54","Google Play Store","Erina Mukadam","5 May 2023","1","I sent a message on WhatsApp to Bhanzu but no response the time of my demo class was 4:00 pm but they told to join 10 mins before l joined at 3:50 but now it's 4:10 still the meeting is not started very bad Bhanzu waiting from 20 mins 😢☹️😞","5"
"55","Google Play Store","Akshatha L N","30 July 2025","1","Very bad experience My 8-year-old son was enrolled in a math wizard class that I opted for. The initial 20 to 25 sessions of the class were successful. The teachers are changed stating that the last one is leaving. In the past 25 classes, the new teacher has arrived at 6 pm, takes 10 minutes to settle down, goes off camera very frequently due to kids crying or someone talking continuously in the background, and goes to the office for azaan in the middle of the 1-hour session. The class gets","5"
"56","Google Play Store","Kapil Ahire","13 October 2025","1","I am taking a followup with the Bhanzu team since last 1 month 8th of September, I am calling every day for my update but still there is no response from Farzana mam, someone please help me how I can get the proper help 🙏","5"
"57","Google Play Store","Manoj Kumar Singh","22 February 2026","1","The classes are artificial with no real interaction. It's a kind of scam where they will promise many with money back guaranteee on cancellation but on cancellation no one will respond. Each time a person will call ask some question and will they will come back and no come back. Govt should take action and mandate to have actual grievance system. I am looking to initiate a consumer forum complaint.","3"
"58","Google Play Store","Vineet Jaiswal","4 July 2023","1","Login difficulty in each time I want to login","3"
"59","Google Play Store","Shehreyar Khan","8 December 2024","1","It stays 1 star until I get to talk to one of your customer service agents.","2"
"60","Google Play Store","Dharmesh Patel","17 May 2026","1","Bhanziu is worst class ever I bought. Don't waste hard earned money. There teacher are not even capable. By giving demo classes they will fool the parents. Their teacher are not trained properly. I will rate zero. And whatever yo u do, they will not refund the money.","1"
"61","Google Play Store","Shashank Visweswara","8 March 2026","1","A Predatory, Emotionally Abusive Scam of a Company. Avoid this fraudulent company at all costs. Their sales team lied about the cancellation policy, and the assigned teacher didn't know how to teach nor communicate, and didn't even complete the curriculum for the basic course. Customer support ignored our pleas for help, failed to deliver the promised curriculum, and is now illegally withholding our money after we canceled.","2"
"62","Google Play Store","Abhinav Singh","15 September 2023","1","So bad app And your app well not open Give my loss data","5"
"63","Google Play Store","Vaunted Paragon","3 December 2023","1","I hate your stupid ad please replace it with something else I installed this app just to post this review","4"
"64","Google Play Store","Muhammad Mustafa Muhammad","13 March 2026","1","A big scam. they teach students some random techniques that wont even help in school! DO NOT MAKE YOUR CHILD BE IN THESE STUPID CLASSES","2"
"65","Google Play Store","NIRMAL KUMAR","30 January 2026","1","worst course , don't waste your time and money in this app,","1"
"66","Google Play Store","Tanveer Ahmed","8 August 2023","1","This company is a SCAM .. the app is no good . The information given are misleading.. I am still struggling with my refund.. Deepak Bhakar, Tanzin, Chetan Kumar Singh, Priyadarshini and the sales manager RITKI all are misleading..","5"
"67","Google Play Store","sheetal sharma","18 December 2023","1","Mr bhanzu , you can’t take alone bhanzu institute on height, your team shall be responsive and teachers should understand responsibility","3"
"68","Google Play Store","Santosh Reddy Varakantham","25 May 2025","1","this is one of the worst online center who trap the customer and provide all FALSE information and squeeze money. even when we want to quit they don't even process and continue to collect the money. this is a FRAUD COMPANY by mistake also DONT JOIN AND BURN YOUR HANDS","0"
"69","Google Play Store","Priya narayanan","1 July 2023","1","Worst classes conducted by the team","2"
"70","Google Play Store","Navadeep MK","8 June 2024","1","It so irritating it keeps saying email not found","1"
"71","Google Play Store","Katariya Harita","9 March 2024","1","Is a disgusting classes s it too fraud take money from us and do many calls don't enroll to this classes in classes the teachers are teaching so hard my sister is in Sr kg and they started teaching hundreds place value and so so so many money that our father earns they take it they are like donkey and pagal","2"
"72","Google Play Store","Paryag Yadav","19 July 2024","1","Very big fraud app my request all of you don't trust this app .Ye aapko refund nhi krte apne rule batate rahte h aapki situation bilkul nhi samjhte.So please don't trust them.","2"
"73","Google Play Store","Prem Bati","26 March 2023","1","I am having problems with login","8"
"74","Google Play Store","Nabil","30 January 2024","1","I don't like the class I go Thursdays.","2"
"75","Google Play Store","Gyr Hvdv","15 January 2023","1","Sir their is a problem when I log in","10"
"76","Google Play Store","Asma Siddiqua","16 June 2023","1","Fraud website.... Plz do not believe on them....... No professional behaviour at all","4"
"77","Google Play Store","Praveen p","5 February 2024","1","No refund since many days.","3"
"78","Google Play Store","SG","3 June 2024","1","Do not believe this organisation (Bhanzu) you will regret if enrolled the child hear","1"
"79","Google Play Store","ikram afsha","6 September 2023","1","Not st all downloading","3"
"80","Google Play Store","Pallvi Mahajan","28 February 2025","1","Bakwaas classes...... They make money by make fool of ohers","0"
"81","Google Play Store","Satya graphix Bhilai","18 October 2023","1","Poor standard of teachers","2"
"82","Google Play Store","Sundri Kumari","17 September 2023","1","🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🍷 not this is a dirty app I am this app owner's daughter's husband","3"
"83","Google Play Store","Meera Chakravarti","30 July 2023","1","So bad I am frustrated to login this app","7"
"84","Google Play Store","Aryaman S Kumar","4 April 2023","1","i m having problem with login","9"
"85","Google Play Store","Karumudi Bhagathsingareddy","9 May 2023","1","Customer care not responding","3"
"86","Google Play Store","Rajesh Kumar K","12 February 2024","1","Worst... Really I am very sad joing my daughter for grade 6....i lost 40k....dont go with bhanzu","2"
"87","Google Play Store","chrif el amraoui","22 March 2026","1","horrible experience AVOID this company. Weast of money and time","0"
"88","Google Play Store","Neelima","25 August 2025","1","Bhanzu is a scam – they cheat with fake promises of refund. Don’t waste your money.","0"
"89","Google Play Store","Rishu Kumari","20 September 2023","1","Very bad app 👎👎👎👎👎👎","2"
"90","Google Play Store","Mohammad Akhtar","13 June 2025","1","I don't like","0"
"91","Google Play Store","Meenu Singh","20 December 2023","1","Fraud bhanzu people....all fake.... fraud 🤥","4"
"92","Google Play Store","Pravati Pradhan","1 April 2025","1","Bunch of crooks","0"
"93","Google Play Store","Swati Avinash Singh","7 July 2026","1","bad","0"
"94","Google Play Store","Payal Soni","1 September 2025","1","not open","0"
"95","Google Play Store","The Quran Guide to Life","4 August 2025","1","ewwww","0"
"96","Google Play Store","Nishu Kumari","24 September 2023","1","Bad app","1"
"97","Google Play Store","Anitha Ani","4 August 2023","1","Very bad","1"
"98","Google Play Store","sudhakar ketha","28 May 2023","1","Very slow","1"
"99","Google Play Store","Anvita","25 May 2023","1","Bad to me","3"
"100","Google Play Store","Anjali Sureka","26 August 2026","1","full fraud company Hai ek bar Paisa De diye to aap ise Le nahin sakte. main 6 mahine se try kar raha hun inhone kaha tha ki aap bich mein class band karenge to main paise wapas kar dunga lekin 6 mahine mein ek bar mujhe ek rupya nahin diya. 6 mahine Se mujhe 48 ghante ka time le rahe hain. ab to Main consumer form mein jaane wala hun. kyunki mere Jaise Kai log Hain jinko inhone fansaya hai Aisa review mein Maine padha hai","0"
"101","Google Play Store","Prakhar Verma","19 June 2026","1","ekdum bakwas gathiya pahle to demo class mein padhate nahin hain fir kahte hain enroll karo course fir poori saal time waste karte hain","0"
"102","Google Play Store","Mohammed Saleh","8 July 2025","1","No one will believe in their advertisement, there is no resemblance to their ads and works, the number one is the fold, the proof of which I myself and my children, all the money is money,bad 👎 bad 👎 bad 👎👎👎👎👎👎👎👎 vary vary bad","0"
"103","Google Play Store","KALPESH SIR","22 August 2026","1","login hi nahi ho raha","0"
"104","Google Play Store","Kautilya Kumar","2 December 2023","1","pagali","2"
"105","Google Play Store","Rajendra Akubattin","5 July 2026","2","Very bad background they do my classes in 7:00 to 8:00 and my 1 hour gets delayed I wanted watch Taraak metha ka Ollota chasma if they fix it them I will change the review to 5 or 6 star don’t know how will it be possible to be 6 stars in the App Store and Google play store I’m in a iPhone but in my class I got the best trainer see doesn’t sleep or care to the class to get over and please don’t enroll in Bhanzu because they just do me lr-subtraction and it doesn’t work the Bhanzu way in my schoo","1"
"106","Google Play Store","Ruby Abdulsattar","5 May 2025","2","it keeps logging out. crashes at times. I can only look at the progress of my child and not his ongoing classes. no working link for the student dashboard in the app itself, so I cannot use it with my child to do some quizzes","4"
"107","Google Play Store","pars parfum","16 May 2024","2","They don't give refund easily and give stupid reasons to not refund . Very bad think 20 times before joining","5"
"108","Google Play Store","Gurpreet Kaur","4 April 2026","2","Waste of money","0"
"109","Google Play Store","Rashid Bashir","3 May 2025","3","login error user registration not done. although I have registered and classes are on going","2"
"110","Google Play Store","magimainathan magimai","27 March 2024","3","Ok","3"
"111","Google Play Store","Rashid Bashir","3 May 2025","4","login error user registration not done. although I have registered and classes are on going","2"
"112","Google Play Store","magimainathan magimai","27 March 2024","4","Ok","3"
"113","Google Play Store","Madhurima Bose","29 June 2026","5","Our experience with Bhanzu has been very positive. The teachers explain mathematical concepts in a simple and engaging way, making learning enjoyable for my child. I have noticed a significant improvement in confidence, logical thinking, and problem-solving skills. The classes are interactive, and the teachers are patient and supportive. The Parent App also makes it easy to track progress and stay updated. Thank you, Bhanzu","5"
"114","Google Play Store","Ankith Pawal Kujur","6 July 2026","5","A wonderful app for anyone looking to improve their math skills. The personalized practice and easy-to-understand lessons make a real difference.","4"
"115","Google Play Store","Akki Kumar","23 April 2026","5","the app is quite easy to use. my child can join classes and access lessons without any confusion. the interface is simple, which makes it easier for kids to navigate on their own.","6"
"116","Google Play Store","Ayushi Mukherjee","17 August 2026","5","app is very convenient","0"
"117","Google Play Store","Ben S Mathew","24 May 2024","5","This is such a good app. It was very easy for me to sign in and any of my queries were completely solved through this app. Happy with Bhanzu parent app.","37"
"118","Google Play Store","Guru darshan","26 May 2024","5","The parents app is a very useful for the parents to refer the student performance and to keep track of the ongoing modules, and also the in app AI is a great addition to which helps you in resolving basic issues.","17"
"119","Google Play Store","Prathima Gattu","12 September 2025","5","It's very nice and for my child it is easy to understand and heis very fast in calculation.","5"
"120","Google Play Store","Ajay Singh","24 March 2025","5","This is a very useful app especially for kids enrolled in Bhanzu classes .","7"
"121","Google Play Store","Ayush","24 May 2024","5","This app has greatly helped me in staying in touch and updated with with the progress of my child","13"
"122","Google Play Store","saadhan sathwik","30 July 2023","5","This is very good and nice experience in 10 second i can do it 2 and 3 digit sums and 3 rows and 2 rows","6"
"123","Google Play Store","A Google user","15 July 2026","5","its realy a good app","0"
"124","Google Play Store","Tejashwini Prakash","28 May 2024","5","Amazing app, my child loves the classes","0"
"125","Google Play Store","Akanksha singh","28 May 2024","5","Really good platform for Math","0"
"126","Google Play Store","Manjula Ramesh","13 August 2026","5","Amazing platform for parents to view their kid progress 👍","0"
"127","Google Play Store","Sneha Ramesh","10 August 2026","5","It has been an amazing experience using this app brainstroming and very usefull app","0"
"128","Google Play Store","shruthi shetty","26 May 2024","5","It's been wonderful experience enrolling with Bhanzu,the teaching mathod is very innovative","4"
"129","Google Play Store","Zareen Afridi","24 May 2024","5","Love the app, its very useful!","1"
"130","Google Play Store","Haritha Bairaju","28 January 2026","5","The journey with BHANZU was incredible!!!","1"
"131","Google Play Store","Luxmi sharma","11 August 2026","5","this app makes us satisfied about our ward's performance.","0"
"132","Google Play Store","Kevin","27 May 2024","5","The app is so nice and very helpful","0"
"133","Google Play Store","Vijayalalitha Vijaya","20 March 2025","5","good super teaching","0"
"134","Google Play Store","Pintu Sawarkar","16 September 2023","5","Best teacher in world 🧑🏻‍🏫👍👍👍👍👍👍👍👍👍👍","1"
"135","Google Play Store","Liiteo","24 May 2024","5","Very good experience.","0"
"136","Google Play Store","Rohith P","23 December 2023","5","Very good app","2"
"137","Google Play Store","pratap Kashyap","19 November 2024","5","Good very good","0"
"138","Google Play Store","Anita Yadav","14 February 2023","5","So nice app","3"
"139","Google Play Store","Nirmal Das","2 September 2026","5","Great app. has been seeing a lot of improving on the app","0"
"140","Google Play Store","STAHSEEn T","22 February 2025","5","Good","0"
"141","Google Play Store","bhhavin arora","26 May 2024","5","This app is just wonderful, has helped me to keep tabs on my kids progress the entire time.","0"
"142","Google Play Store","Tarun Sreekumar","24 May 2024","5","Bhanzu helped my nephew overcome his math phobia, highly recommended the courses","0"
"143","Google Play Store","Chander Shekhar","27 May 2024","5","My kids marks improved after installing this app.","0"
"144","Google Play Store","Ashvini Pradeep","27 May 2024","5","Best thing i have ever come across","0"
"145","Google Play Store","Anusha Advekar","27 May 2024","5","This app has been of great help.","0"
"146","Google Play Store","Pragati Maiti","24 May 2024","5","Great initiative 👍","0"
"147","Google Play Store","Sajil Sachu","27 May 2024","5","Great user experience","0"
"148","Google Play Store","Krishna Soni","27 May 2024","5","Awesome!","0"
"149","Google Play Store","Krishnapriya Ganesh","28 May 2024","5","Best platform","0"
"150","Google Play Store","Uday","28 May 2024","5","Helpful App","0"
"151","Google Play Store","rohit biswas","28 May 2024","5","Very useful","0"
"152","Google Play Store","THIRUPATHI MARRIPELLY","14 September 2023","5","Good sir","0"
"153","Google Play Store","Lakki Kiran","13 July 2023","5","Super","0"
"154","Google Play Store","Harleen Kaur","27 May 2024","5","I am really satisfied with the Bhanzu sessions. The teachers are well educated and make sure that the child understands well. The relationship manager also ensures that all the concerns are well addressed.","0"
"155","Google Play Store","Nanda Gopala Krishna Peram","23 May 2024","5","Thanks to Bhanzu.... my child is great at maths now","0"
"156","Google Play Store","Jacob Anil","28 May 2024","5","A very helpful and useful app","0"
"157","Google Play Store","Lalitkumar Dandawate","4 March 2023","5","V good","1"
"158","Google Play Store","Pranita Abuj","8 July 2023","5","Nice app","0"
"159","Google Play Store","Phanikumar Bathula","27 May 2024","5","I love this app","0"
"160","Google Play Store","Mohammed Alauddin masood","14 June 2026","5","best","0"
"161","Google Play Store","Ashish Bhatia","26 October 2025","5","Excellant","0"
"162","Google Play Store","Debashish Kumar","9 August 2023","5","Math 🧮 topper","0"
"163","Google Play Store","Faridul Islam","3 April 2024","5","Super app","0"
"164","Trustpilot","Nis Shaw","13 hours ago","1","I had a horrible experience with Bhanju, impressed with demo session and enrolled my son for mental math program.i was promised bi monthly payment of 240 but later they said it will be 240 per month.i kept calling Shubham but he never picked up calls or never responded to my emails following up with CS daily for refund request but no luck so far.scammers.someone pls inform founder of the company that they have hired scammers.stealing money","0"
